City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
348,Manakara,MG,70.92,light rain,-22.1333,48.0167,La Residence Manakara
349,Salinopolis,BR,83.05,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
350,Saint-Leu,RE,72.46,broken clouds,-21.15,55.2833,La Caz Oceane
352,Alta Floresta,BR,89.78,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
358,Marshall,US,78.1,scattered clouds,34.3834,-86.3333,Riverview Campground
359,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
360,Isangel,VU,77.14,clear sky,-19.55,169.2667,Tanna Lodge
373,Samana,DO,86.22,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
374,San Juan Bautista,PE,84.13,clear sky,-14.0108,-75.7358,Hotel Las Dunas
375,Macau,MO,73.13,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
376,Sesheke,ZM,72.9,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
378,Buchanan,LR,79.0,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
380,Pemangkat,ID,80.26,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
382,Padang,ID,77.07,light rain,-0.9492,100.3543,Mercure Padang
389,Bonfim,BR,73.85,overcast clouds,3.0833,-59.95,
391,Panaba,MX,87.33,light rain,21.2833,-88.2667,Hotel Don Fernando
393,Pailon,BO,83.88,clear sky,-17.65,-62.75,La plaza
395,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
397,Atar,MR,82.8,clear sky,20.5169,-13.0499,Oumou Elghoura
398,Celestun,MX,84.7,light rain,20.8667,-90.4,Posada Lilia
399,Necochea,AR,72.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
400,Soure,BR,84.25,heavy intensity rain,-0.7167,-48.5233,Casarão da Amazônia
401,Jasper,US,78.46,scattered clouds,37.2001,-94.3502,Guest House Motel
402,Redwater,US,79.21,few clouds,33.3582,-94.2544,Nettles Nest Country Inn
408,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
409,Buenos Aires,AR,78.69,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
410,Curillo,CO,70.43,overcast clouds,1.0333,-75.9191,CASA CLUB
411,Port Shepstone,ZA,70.11,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
413,Kirakira,SB,78.08,clear sky,-10.4544,161.9205,SanBiz Lodge
415,Grand-Santi,GF,78.73,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
