City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
175,Itarantim,-15.6597,-40.0656,66.56,90,100,4.9,BR,overcast clouds
176,Touros,-5.1989,-35.4608,80.91,69,12,13.78,BR,few clouds
177,Bredasdorp,-34.5322,20.0403,64.26,96,100,11.9,ZA,light rain
178,Chicama,-7.8447,-79.1469,64.94,60,61,10.65,PE,broken clouds
179,Vao,-22.6667,167.4833,75.13,82,21,8.95,NC,few clouds
180,Mgandu,-5.95,34.1333,69.46,31,85,5.3,TZ,overcast clouds
181,Kavieng,-2.5744,150.7967,81.95,74,96,1.36,PG,overcast clouds
182,Beroroha,-21.6667,45.1667,77.76,65,78,2.71,MG,moderate rain
183,The Valley,18.217,-63.0578,86.83,70,20,10.36,AI,few clouds
184,Geraldton,-28.7667,114.6,54.01,94,40,1.14,AU,scattered clouds
185,Ulaangom,49.9811,92.0667,21.83,85,100,4.63,MN,overcast clouds
186,Kamaishi,39.2667,141.8833,50.83,80,100,7.18,JP,light rain
187,Faanui,-16.4833,-151.75,77.14,79,99,15.39,PF,light rain
188,Dunedin,-45.8742,170.5036,50.14,66,16,6.33,NZ,few clouds
189,Martin,27.0837,-80.4164,87.96,73,61,1.99,US,broken clouds
190,Praia Da Vitoria,38.7333,-27.0667,66.76,99,20,7.9,PT,few clouds
191,Metro,-5.1131,105.3067,76.42,89,100,4.21,ID,overcast clouds
192,Itoman,26.1247,127.6694,77.02,78,75,10.36,JP,broken clouds
193,Port Elizabeth,-33.918,25.5701,69.1,88,40,11.5,ZA,scattered clouds
194,Saint George,37.1041,-113.5841,50.95,59,100,11.5,US,overcast clouds
195,Tiksi,71.6872,128.8694,-2.16,99,90,6.35,RU,overcast clouds
196,Coquimbo,-29.9533,-71.3436,64.13,63,0,14.97,CL,clear sky
197,Hasaki,35.7333,140.8333,50.4,58,100,16.28,JP,overcast clouds
198,Waingapu,-9.6567,120.2641,81.01,74,100,1.95,ID,overcast clouds
199,Indianola,41.3581,-93.5574,72.09,62,100,21.92,US,overcast clouds
200,Severo-Kurilsk,50.6789,156.125,42.01,91,100,12.44,RU,overcast clouds
201,Flin Flon,54.7682,-101.865,24.64,80,100,12.66,CA,light snow
202,Chifeng,42.2683,118.9636,27.32,38,0,6.73,CN,clear sky
203,Port Blair,11.6667,92.75,78.49,74,36,4.63,IN,scattered clouds
204,Te Anau,-45.4167,167.7167,45.25,95,100,7.92,NZ,overcast clouds
205,Sinnamary,5.3833,-52.95,83.55,68,18,9.71,GF,few clouds
206,Poli,-3.3333,36.8,62.87,50,1,3.04,TZ,clear sky
207,Carnarvon,-24.8667,113.6333,68.38,85,0,15.73,AU,clear sky
208,Richards Bay,-28.783,32.0377,71.33,90,100,11.61,ZA,light rain
209,Portel,-1.9356,-50.8211,88.03,55,99,2.06,BR,overcast clouds
210,Maniitsoq,65.4167,-52.9,28.27,45,100,8.7,GL,overcast clouds
211,Guthrie,35.8789,-97.4253,73.63,68,100,20.71,US,overcast clouds
212,San Quintin,30.4833,-115.95,63.72,57,10,23.35,MX,clear sky
